板块,公司全称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,地      区,省    份,城     市,所属行业
主板,云南白药集团股份有限公司,云南省昆明市呈贡区云南白药街3686号,538,云南白药,1993/12/15,"1,277,403,317","602,166,957",西南,云南,昆明市,C 制造业
主板,广东电力发展股份有限公司,广东省广州市天河东路2号粤电广场南塔33-36楼,539,粤电力Ａ,1993/11/26,"4,451,875,986","2,553,905,861",华南,广东,广州市,D 水电煤气
主板,中天金融集团股份有限公司,贵州省贵阳市观山湖区中天路3号,540,中天金融,1994/2/2,"7,005,254,679","6,970,674,147",西南,贵州,贵阳市,K 房地产
主板,佛山电器照明股份有限公司,广东省佛山市禅城区汾江北路64号,541,佛山照明,1993/11/23,"1,077,274,404","1,073,038,507",华南,广东,佛山市,C 制造业
主板,安徽省皖能股份有限公司,安徽省合肥市马鞍山路76号,543,皖能电力,1993/12/20,"2,266,863,331","1,790,395,978",华东,安徽,合肥市,D 水电煤气
主板,中原环保股份有限公司,河南省郑州市中原区中原中路167号1号楼16层,544,中原环保,1993/12/8,"974,684,488","974,684,488",华中,河南,郑州市,D 水电煤气
主板,金浦钛业股份有限公司,吉林省吉林市吉林经济技术开发区吉孤公路480号,545,金浦钛业,1993/12/15,"986,833,096","959,403,096",东北,吉林,吉林市,C 制造业
主板,金圆环保股份有限公司,吉林省长春市净月开发区中信城枫丹白露一期3栋906室,546,金圆股份,1993/12/15,"714,644,396","688,468,928",东北,吉林,长春市,N 公共环保
主板,航天工业发展股份有限公司,福建省福州市台江区五一南路67号,547,航天发展,1993/11/30,"1,605,421,646","1,205,405,063",华东,福建,福州市,C 制造业
主板,湖南投资集团股份有限公司,湖南省长沙市天心区芙蓉中路508号之三君逸康年大酒店十二楼,548,湖南投资,1993/12/20,"499,215,811","499,188,811",华中,湖南,长沙市,G 运输仓储
主板,江铃汽车股份有限公司,江西省南昌市迎宾北大道509号,550,江铃汽车,1993/12/1,"519,214,000","518,463,160",华东,江西,南昌市,C 制造业
主板,创元科技股份有限公司,江苏省苏州市高新区鹿山路35号,551,创元科技,1994/1/6,"400,080,405","400,080,405",华东,江苏,苏州市,S 综合
主板,甘肃靖远煤电股份有限公司,甘肃省白银市平川区大桥路1号,552,靖远煤电,1994/1/6,"2,286,971,050","2,283,712,837",西北,甘肃,白银市,B 采矿业
主板,安道麦股份有限公司,湖北省荆州市北京东路93号,553,安道麦A,1993/12/3,"2,177,071,961","2,177,067,461",华中,湖北,荆州市,C 制造业
主板,中国石化山东泰山石油股份有限公司,山东省泰安市东岳大街369号,554,泰山石油,1993/12/15,"480,793,318","362,649,710",华东,山东,泰安市,F 批发零售
主板,神州数码信息服务股份有限公司,广东省深圳市南山区科发路8号金融服务技术创新基地2栋11B1单元,555,神州信息,1994/4/8,"975,611,557","965,269,754",华南,广东,深圳市,I 信息技术
主板,宁夏西部创业实业股份有限公司,宁夏回族自治区银川市北京中路168号C座一楼,557,西部创业,1994/6/17,"1,458,374,735","1,457,916,198",西北,宁夏,银川市,G 运输仓储
主板,莱茵达体育发展股份有限公司,浙江省杭州市西湖区文三路535号莱茵达大厦,558,莱茵体育,1994/5/9,"1,289,223,949","1,288,419,854",华东,浙江,杭州市,K 房地产
主板,万向钱潮股份有限公司,浙江省杭州市萧山区万向路,559,万向钱潮,1994/1/10,"3,303,791,344","2,753,147,124",华东,浙江,杭州市,C 制造业
主板,我爱我家控股集团股份有限公司,云南省昆明市东风西路1号,560,我爱我家,1994/2/2,"2,355,500,851","2,140,995,837",西南,云南,昆明市,K 房地产
主板,陕西烽火电子股份有限公司,陕西省宝鸡市清姜路72号,561,烽火电子,1994/5/9,"604,692,321","599,176,586",西北,陕西,宝鸡市,C 制造业
主板,陕西省国际信托股份有限公司,陕西省西安市高新区科技路50号金桥国际广场C座,563,陕国投Ａ,1994/1/10,"3,964,012,846","3,964,012,846",西北,陕西,西安市,J 金融业
主板,供销大集集团股份有限公司,陕西省西安市解放路103号,564,供销大集,1994/1/10,"5,982,004,024","2,005,895,931",西北,陕西,西安市,F 批发零售
主板,重庆三峡油漆股份有限公司,重庆市江津区德感工业园区,565,渝三峡Ａ,1994/4/8,"433,592,220","433,592,220",西南,重庆,重庆市,C 制造业
主板,海南海药股份有限公司,海南省海口市秀英区南海大道192号,566,海南海药,1994/5/25,"1,335,979,264","1,204,004,379",华南,海南,海口市,C 制造业
主板,海南海德资本管理股份有限公司,海南省海口市海德路5号,567,海德股份,1994/5/25,"641,138,926","217,869,011",华南,海南,海口市,J 金融业
主板,泸州老窖股份有限公司,四川省泸州市国窖广场,568,泸州老窖,1994/5/9,"1,464,752,476","1,464,306,555",西南,四川,泸州市,C 制造业
主板,常柴股份有限公司,江苏省常州市怀德中路123号,570,苏常柴Ａ,1994/7/1,"411,374,326","411,374,326",华东,江苏,常州市,C 制造业
主板,新大洲控股股份有限公司,海南省海口市桂林洋经济开发区,571,*ST大洲,1994/5/25,"814,064,000","806,535,195",华南,海南,海口市,S 综合
主板,海马汽车股份有限公司,海南省海口市金盘工业区金盘路12-8号,572,ST海马,1994/8/8,"1,644,636,426","1,642,155,224",华南,海南,海口市,C 制造业
主板,东莞宏远工业区股份有限公司,广东省东莞市南城区宏远工业区,573,粤宏远Ａ,1994/8/15,"638,280,604","632,503,003",华南,广东,东莞市,K 房地产
主板,广东甘化科工股份有限公司,广东省江门市甘化路62号,576,甘化科工,1994/9/7,"442,861,324","427,984,418",华南,广东,江门市,C 制造业
主板,无锡威孚高科技集团股份有限公司,江苏省无锡国家高新技术产业开发区华山路5号,581,威孚高科,1998/9/24,"836,570,570","816,949,740",华东,江苏,无锡市,C 制造业
主板,北部湾港股份有限公司,广西壮族自治区北海市海角路145号,582,北部湾港,1995/11/2,"1,634,616,854","1,266,819,490",华南,广西,北海市,G 运输仓储
主板,江苏哈工智能机器人股份有限公司,江苏省江阴市临港街道双良路15号,584,哈工智能,1995/11/28,"760,937,577","598,365,725",华东,江苏,无锡市,C 制造业
主板,东北电气发展股份有限公司,海南省海口市南海大道266号海口国家高新区创业孵化中心A楼5层A1-1077室,585,*ST东电,1995/12/13,"615,420,000","609,420,978",华南,海南,海口市,C 制造业
主板,四川汇源光通信股份有限公司,四川省成都市高新西区西芯大道5号,586,汇源通信,1995/12/20,"193,440,000","193,440,000",西南,四川,成都市,C 制造业
主板,金洲慈航集团股份有限公司,黑龙江省伊春市伊春区青山西路118号,587,*ST金洲,1996/4/25,"2,123,749,330","1,213,011,850",东北,黑龙江,伊春市,C 制造业
主板,贵州轮胎股份有限公司,贵州省贵阳市云岩区百花大道41号,589,贵州轮胎,1996/3/8,"797,589,304","775,464,304",西南,贵州,贵阳市,C 制造业
主板,启迪药业集团股份公司,湖南省衡阳市高新区杨柳路33号,590,启迪药业,1996/1/19,"239,471,267","239,376,227",华中,湖南,衡阳市,C 制造业
主板,中节能太阳能股份有限公司,重庆市渝中区中山三路131号希尔顿商务中心19楼G,591,太阳能,1996/2/8,"3,007,098,032","2,037,098,929",西南,重庆,重庆市,D 水电煤气
主板,中福海峡（平潭）发展股份有限公司,福建省平潭综合实验区北厝镇金井二路台湾创业园28、35号楼4层,592,平潭发展,1996/3/27,"1,931,780,892","1,913,936,915",华东,福建,福州市,A 农林牧渔
主板,四川大通燃气开发股份有限公司,四川省成都市建设路55号,593,大通燃气,1996/3/12,"358,631,009","358,209,794",西南,四川,成都市,D 水电煤气
主板,宝塔实业股份有限公司,宁夏回族自治区银川市西夏区北京西路630号,595,*ST宝实,1996/4/19,"1,148,498,366","1,137,081,566",西北,宁夏,银川市,C 制造业
主板,安徽古井贡酒股份有限公司,安徽省亳州市古井镇,596,古井贡酒,1996/9/27,"383,600,000","383,600,000",华东,安徽,亳州市,C 制造业
主板,东北制药集团股份有限公司,辽宁省沈阳经济技术开发区昆明湖街8号,597,东北制药,1996/5/23,"1,350,702,476","1,249,257,095",东北,辽宁,沈阳市,C 制造业
主板,成都市兴蓉环境股份有限公司,四川省成都市青羊区苏坡乡万家湾村,598,兴蓉环境,1996/5/29,"2,986,218,602","2,986,218,602",西南,四川,成都市,D 水电煤气
主板,青岛双星股份有限公司,山东省青岛市黄岛区两河路666号,599,青岛双星,1996/4/30,"822,259,233","767,709,543",华东,山东,青岛市,C 制造业
主板,河北建投能源投资股份有限公司,河北省石家庄市裕华西路9号裕园广场A座,600,建投能源,1996/6/6,"1,791,626,376","1,090,044,126",华北,河北,石家庄市,D 水电煤气
主板,广东韶能集团股份有限公司,广东省韶关市武江区沿江路16号,601,韶能股份,1996/8/30,"1,080,551,669","1,079,754,322",华南,广东,韶关市,D 水电煤气
主板,盛达金属资源股份有限公司,北京市大兴区瀛海镇京福路瀛海段1号,603,盛达资源,1996/8/23,"689,969,346","578,804,715",华北,北京,北京市,B 采矿业
主板,渤海水业股份有限公司,北京市顺义区中关村科技园顺义园临空二路1号,605,渤海股份,1996/9/13,"352,658,600","335,693,601",华北,北京,北京市,D 水电煤气
主板,顺利办信息服务股份有限公司,青海省西宁市城西区五四西路57号5号楼,606,顺利办,1996/10/4,"765,799,353","707,201,606",西北,青海,西宁市,I 信息技术
主板,浙江华媒控股股份有限公司,浙江省杭州市下城区体育场路218号,607,华媒控股,1996/8/30,"1,017,698,410","884,859,969",华东,浙江,杭州市,R 文化传播
主板,阳光新业地产股份有限公司,广西壮族自治区南宁市江南路230号南宁经济技术开发区,608,阳光股份,1996/9/19,"749,913,309","749,796,859",华南,广西,南宁市,K 房地产
主板,北京中迪投资股份有限公司,北京市丰台区科学城海鹰路1号院6号楼5层,609,中迪投资,1996/10/10,"299,265,522","292,002,672",华北,北京,北京市,S 综合
主板,西安旅游股份有限公司,陕西省西安市雁塔区雁翔路3001号华商传媒中心2号楼13f,610,西安旅游,1996/9/26,"236,747,901","235,394,869",西北,陕西,西安市,N 公共环保
主板,内蒙古天首科技发展股份有限公司,内蒙古自治区包头市青山区钢铁大街7号正翔国际广场B6号楼,611,ST天首,1996/10/8,"337,822,022","319,347,925",华北,内蒙古,包头市,C 制造业
主板,焦作万方铝业股份有限公司,河南省焦作市马村区待王镇焦新路南侧,612,焦作万方,1996/9/26,"1,192,199,394","1,190,682,144",华中,河南,焦作市,C 制造业
主板,海南大东海旅游中心股份有限公司,海南省三亚市大东海,613,大东海A,1997/1/28,"276,100,000","265,876,600",华南,海南,三亚市,H 住宿餐饮
主板,奥园美谷科技股份有限公司,湖北省襄阳市樊城区陈家湖,615,奥园美谷,1996/10/16,"781,180,319","771,682,993",华中,湖北,襄阳市,K 房地产
主板,海航投资集团股份有限公司,辽宁省大连市中山区长江路123号长江写字楼2129,616,海航投资,1996/11/8,"1,430,234,425","1,430,234,425",东北,辽宁,大连市,K 房地产
主板,中国石油集团资本股份有限公司,新疆维吾尔自治区克拉玛依市世纪大道7号,617,中油资本,1996/10/22,"12,642,079,079","12,642,079,079",西北,新疆,克拉玛依市,J 金融业
主板,芜湖海螺型材科技股份有限公司,安徽省芜湖市经济开发区港湾路,619,海螺型材,1996/10/23,"360,000,000","360,000,000",华东,安徽,芜湖市,C 制造业
主板,新华联文化旅游发展股份有限公司,北京市通州区外郎营村北2号院2号楼8层101,620,新华联,1996/10/29,"1,896,690,420","1,896,611,195",华北,北京,北京市,K 房地产
主板,恒立实业发展集团股份有限公司,湖南省岳阳市岳阳楼区冷水铺办事处冷水铺居委会10幢301,622,恒立实业,1996/11/7,"425,226,000","425,226,000",华中,湖南,岳阳市,C 制造业
