板块,公司全称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,地      区,省    份,城     市,所属行业
主板,华工科技产业股份有限公司,湖北省武汉市东湖高新技术开发区华中科技大学科技园华工科技本部大楼,988,华工科技,2000/6/8,1005502707,1005075732,华中,湖北,武汉市,制造业
主板,九芝堂股份有限公司,湖南省长沙市桐梓坡西路339号,989,九 芝 堂,2000/6/28,869354236,589542851,华中,湖南,长沙市,制造业
主板,诚志股份有限公司,江西省南昌市经济开发区玉屏东大道299号,990,诚志股份,2000/7/6,1253011919,834025091,华东,江西,南昌市,制造业
主板,福建闽东电力股份有限公司,福建省宁德市蕉城区蕉城南路68号东晟泰丽园1号楼3层,993,闽东电力,2000/7/31,457951455,373000000,华东,福建,宁德市,水电煤气
主板,甘肃皇台酒业股份有限公司,甘肃省武威市新建路55号,995,皇台酒业,2000/8/7,177408000,177408000,西北,甘肃,武威市,制造业
主板,中国中期投资股份有限公司,北京市朝阳区建国门外光华路14号1幢1层8号,996,中国中期,2000/7/18,345000000,345000000,华北,北京,北京市,批发零售
主板,新大陆数字技术股份有限公司,福建省福州市马尾区儒江西路1号,997,新 大 陆,2000/8/7,1050441717,1016025066,华东,福建,福州市,信息技术
主板,袁隆平农业高科技股份有限公司,湖南省长沙市芙蓉区合平路638号,998,隆平高科,2000/12/11,1316970298,962380663,华中,湖南,长沙市,农林牧渔
主板,华润三九医药股份有限公司,广东省深圳市龙华区观湖街道观澜高新园区观清路1号,999,华润三九,2000/3/9,978900000,978395308,华南,广东,深圳市,制造业
主板,重庆宗申动力机械股份有限公司,重庆市巴南区炒油场,1696,宗申动力,1997/3/6,1145026920,879168449,西南,重庆,重庆市,制造业
主板,招商局港口集团股份有限公司,广东省深圳市南山区招商街道工业三路一号招商局港口大厦23-25楼,1872,招商港口,1993/5/5,1742469694,593820070,华南,广东,深圳市,运输仓储
主板,河南豫能控股股份有限公司,河南省郑州市金水区农业路东41号B座8-12层,1896,豫能控股,1998/1/22,1150587847,1150587847,华中,河南,郑州市,水电煤气
主板,招商局积余产业运营服务股份有限公司,广东省深圳市福田区振华路163号飞亚达大厦六楼,1914,招商积余,1994/9/28,1060346060,666863166,华南,广东,深圳市,房地产
主板,招商局公路网络科技控股股份有限公司,天津自贸试验区市(东疆保税港区)鄂尔多斯路599号东疆商务中心A3楼910,1965,招商公路,2017/12/25,6178228432,1932801802,华北,天津,天津市,运输仓储
主板,招商局蛇口工业区控股股份有限公司,广东省深圳南山区蛇口兴华路6号南海意库3号楼,1979,招商蛇口,2015/12/30,7923242592,7921664929,华南,广东,深圳市,房地产
